date,workout,energy burned (cal)
2024-02-23T08:45:00+1000,Cycling,244.0
2024-02-23T07:23:12+1000,Functional Strength Training,278.0
2024-02-22T16:51:00+1000,Cycling,224.0
2024-02-22T12:54:00+1000,Walking,31.0
2024-02-22T12:16:00+1000,Walking,46.0
2024-02-22T08:21:00+1000,Cycling,251.0
2024-02-21T11:20:00+1000,Walking,37.0
2024-02-21T09:42:00+1000,Walking,65.0
2024-02-21T07:43:58+1000,Functional Strength Training,447.0
2024-02-21T06:33:00+1000,Walking,59.0
2024-02-20T20:04:00+1000,Walking,43.0
2024-02-20T17:09:00+1000,Cycling,185.0
2024-02-20T12:49:00+1000,Walking,34.0
2024-02-20T12:49:00+1000,Walking,34.0
2024-02-20T12:24:00+1000,Walking,34.0
2024-02-20T08:50:00+1000,Cycling,289.0
2024-02-20T07:30:12+1000,Functional Strength Training,253.0
2024-02-20T06:22:00+1000,Walking,46.0
2024-02-19T19:56:00+1000,Walking,31.0
2024-02-19T17:54:00+1000,Cycling,327.0
2024-02-19T14:46:00+1000,Cycling,204.0
2024-02-19T08:44:00+1000,Cycling,275.0
2024-02-19T07:21:56+1000,Functional Strength Training,168.0
2024-02-19T06:37:00+1000,Walking,90.0
2024-02-16T16:53:00+1000,Cycling,213.0
2024-02-16T08:45:00+1000,Cycling,242.0
2024-02-16T07:15:49+1000,Functional Strength Training,234.0
2024-02-15T17:09:00+1000,Cycling,180.0
2024-02-15T08:51:00+1000,Cycling,394.0
2024-02-15T07:27:46+1000,Functional Strength Training,159.0
2024-02-15T06:42:00+1000,Walking,99.0
2024-02-14T19:46:00+1000,Walking,263.0
2024-02-14T17:19:00+1000,Cycling,180.0
2024-02-14T12:52:00+1000,Walking,62.0
2024-02-14T12:21:00+1000,Walking,49.0
2024-02-14T08:45:00+1000,Cycling,261.0
2024-02-14T07:20:56+1000,Functional Strength Training,145.0
2024-02-14T06:35:00+1000,Walking,87.0
2024-02-13T14:37:00+1000,Walking,31.0
2024-02-13T12:42:00+1000,Walking,40.0
2024-02-12T12:27:00+1000,Walking,74.0
2024-02-12T07:11:41+1000,Functional Strength Training,192.0
2024-02-09T07:25:57+1000,Functional Strength Training,197.0
2024-02-09T06:46:00+1000,Walking,34.0
2024-02-08T07:30:40+1000,Functional Strength Training,334.0
2024-02-08T06:43:00+1000,Walking,102.0
2024-02-07T12:23:00+1000,Walking,34.0
2024-02-07T11:52:56+1000,Functional Strength Training,195.0
2024-02-07T06:44:00+1000,Walking,102.0
2024-02-06T07:17:43+1000,Functional Strength Training,159.0
2024-02-06T06:33:00+1000,Walking,37.0
2024-02-05T10:38:00+1000,Walking,37.0
2024-02-05T10:38:00+1000,Walking,37.0
2024-02-05T08:44:00+1000,Cycling,211.0
2024-02-05T06:50:39+1000,Functional Strength Training,90.0
2024-02-05T06:30:00+1000,Walking,93.0
2024-02-03T13:49:32+1000,Functional Strength Training,88.0
2024-02-03T08:10:00+1000,Walking,108.0
2024-02-02T07:25:57+1000,Functional Strength Training,209.0
2024-02-02T06:30:00+1000,Walking,90.0
2024-02-01T07:30:11+1000,Functional Strength Training,207.0
